data,hora,taxa
2024/10/23,10:49:15,10.31251783965555
2024/10/23,11:02:05,10.30570406640847
2024/11/10,16:16:34,11.203292267445581
2024/11/10,16:18:35,10.805928091076128
2024/11/10,16:21:40,10.35908669531323
2024/11/10,16:21:41,11.120670340315536
2024/11/10,16:21:42,10.585787128924855
2024/11/10,16:21:43,11.093706775609375
2024/11/10,16:21:44,11.177000495702009
2024/11/10,16:21:45,10.756724748868281
2024/11/10,16:21:46,11.153830700141999
2024/11/10,16:21:47,10.582991955488088
2024/11/10,16:21:48,10.843456818792735
2024/11/10,16:21:49,11.207198813642256
2024/11/10,16:23:43,10.752913621739724
2024/11/10,16:23:44,11.123317452768477
2024/11/10,16:23:45,10.939928403517584
2024/11/10,16:23:46,10.295656500799327
2024/11/10,16:23:47,11.034934153899895
2024/11/10,16:23:48,10.433885730475435
2024/11/10,16:23:49,10.30046980853336
2024/11/10,16:23:50,10.450669416464542
2024/11/10,16:23:51,10.295726149642087
2024/11/10,16:23:52,10.320093831500126
2024/11/10,16:24:06,10.782609038350225
2024/11/10,16:24:59,10.521725360908674
2024/11/10,16:25:00,10.903269087830104
2024/11/10,16:25:01,10.719500382730768
2024/11/10,16:25:02,10.528965552322548
2024/11/10,16:25:03,10.501366046553812
2024/11/10,16:25:04,11.050088518605836
2024/11/10,16:25:05,10.943442879254635
2024/11/10,16:25:06,11.20176357784742
2024/11/10,16:25:07,11.058315895739362
2024/11/10,16:25:08,11.100253198024463
2024/11/10,16:25:52,10.932476345715486
2024/11/10,16:25:54,10.76697036106287
2024/11/10,16:25:55,10.34888033831424
2024/11/10,16:25:56,10.527792526901823
2024/11/10,16:25:57,10.533534187682864
2024/11/10,16:25:58,10.381231681098583
2024/11/10,16:25:59,10.95635080708038
2024/11/10,16:26:00,10.642078856349151
2024/11/10,16:26:01,10.409603602524875
2024/11/10,16:26:02,10.433408610564312
2024/11/10,16:29:22,10.761979521447143
2024/11/10,16:29:23,10.72067229087294
2024/11/10,16:29:24,10.501822859021615
2024/11/10,16:29:25,10.483103512632715
2024/11/10,16:29:26,11.18751286248819
2024/11/10,16:29:27,10.34849616114951
2024/11/10,16:29:28,10.708206123273634
2024/11/10,16:29:29,10.853508414606235
2024/11/10,16:29:30,10.74330050328953
2024/11/10,16:29:31,10.903427002793153
2024/11/10,16:29:46,10.401345467815482
2024/11/10,16:29:47,10.755778736685757
2024/11/10,16:29:48,10.876606474444765
2024/11/10,16:29:49,10.86388311921931
2024/11/10,16:29:50,11.041768933917727
2024/11/10,16:29:51,10.29552573556098
2024/11/10,16:29:52,11.224507206639418
2024/11/10,16:29:53,10.841144823867262
2024/11/10,16:29:54,11.213894772579081
2024/11/10,16:29:55,10.78681925101476
2024/11/10,16:30:44,10.748950498588599
2024/11/10,16:30:45,10.60782957086853
2024/11/10,16:30:46,10.82145835788113
2024/11/10,16:30:47,11.062889697148071
2024/11/10,16:30:48,10.424605236473049
2024/11/10,16:30:49,10.959338093064783
2024/11/10,16:30:50,10.937338333193155
2024/11/10,16:30:51,11.008190943186554
2024/11/10,16:30:52,10.340079639927781
2024/11/10,16:30:53,11.184884304670419
